name, timing (s), percentage, s/calls, n calls
                 Elapsed time,     30.3167,  100.00,      30.316670,         1
                    Init time,      2.4086,    7.94,       2.408589,         1
         Mesh build/read time,      1.7754,    5.86,       1.775367,         1
          Build mesh topology,      0.0594,    0.20,       0.059437,         1
    Compute partitioner input,      0.0021,    0.01,       0.002106,         1
          Build mesh geometry,      0.0113,    0.04,       0.011284,         1
                 Partitioning,      0.1733,    0.57,       0.173275,         1
       Computing connectivity,      0.5638,    1.86,       0.563810,         1
                   Reordering,      0.9637,    3.18,       0.963659,         1
             Compute gradient,      2.4761,    8.17,       0.006237,       397
            I/O time for mesh,      0.0000,    0.00,       0.000041,         1
        I/O time for solution,      0.1828,    0.60,       0.060932,         3
          Solver time inc I/O,     27.9081,   92.06,       2.790807,        10
        Building coefficients,      7.8142,   25.78,       0.027908,       280
            Write fields time,      0.1823,    0.60,       0.060779,         3
              Write xdmf time,      0.0004,    0.00,       0.000146,         3
    Get natural data (output),      0.0360,    0.12,       0.003000,        12
     Get natural data (grads),      0.0911,    0.30,       0.002531,        36
            Write output time,      0.0433,    0.14,       0.014436,         3
         Write gradients time,      0.0951,    0.31,       0.031712,         3
